Resource,Type,Manufacturer,Model,Value,Status
"08 x 10 EASEL - B01EA",EASELS,,,,Available
"08 x 10 EASEL - B02EA",EASELS,,,,Available
"08 x 10 EASEL - B03EA",EASELS,,,,Available
"08 x 10 EASEL - B04EA",EASELS,,,,Available
"08 x 10 EASEL - B05EA",EASELS,,,,Available
"08 x 10 EASEL - B06EA",EASELS,,,,Available
"08 x 10 EASEL - B07EA",EASELS,,,,Available
"08 x 10 EASEL - B08EA",EASELS,,,,Available
"08 x 10 EASEL - B09EA",EASELS,,,,Available
"08 x 10 EASEL - B10EA",EASELS,,,,Available
"08 x 10 EASEL - B11EA",EASELS,,,,Available
"08 x 10 EASEL - B12EA",EASELS,,,,Available
"08 x 10 EASEL - B13EA",EASELS,,,,Available
"10000XL NAN 8 - B02ES","3RD FLOOR SCANNERS",EPSON,10000XL,$25.00,Non-circulating
"10000XL SOPHIE 5 - B01ES","3RD FLOOR SCANNERS",EPSON,10000XL,$25.00,Non-circulating
"100-300MM 4.5-5.6 - B11CL","100-300MM 4.5-5.6",CANON,"100-300MM 4.5-5.6",$3.00,Offline
"10-22MM 3.5-4.5 - A02CL","10-22MM 3.5-4.5 (AMT)",CANON,"10-22MM 3.5-4.5",$3.69,Offline
"105MM KREUZNACH ENLARGING LENS - B30EL",105MM,,,,Available
"105MM KREUZNACH ENLARGING LENS - B62EL",105MM,,,,Available
"105MM KREUZNACH ENLARGING LENS - B63EL",105MM,,,,Available
"105MM KREUZNACH ENLARGING LENS - B64EL",105MM,,,,Available
"105MM OMEGA ENLARGING LENS - B68EL","OMEGA ENLARGING LENSES",,,,Available
"10D (SPARE SPACE CAMERA) - S98CD","SPARE DSLR'S FOR SPACE",CANON,10D,,Offline
"10D (SPARE SPACE CAMERA) - S99CD","SPARE DSLR'S FOR SPACE",CANON,10D,,Offline
"110MM 2.8 - B14OO","RZ 67 LENSES",MAMIYA,"110MM 2.8",$15.00,Non-circulating
"110MM - B01OO","RZ 67 LENSES",MAMIYA,"110MM 2.8",$15.00,Non-circulating
"110MM - B02OO","RZ 67 LENSES",MAMIYA,"110MM 2.8",$15.00,Non-circulating
"110MM - B03OO","RZ 67 LENSES",MAMIYA,"110MM 2.8",$15.00,Non-circulating
"110MM - B04OO","RZ 67 LENSES",MAMIYA,"110MM 2.8",$15.00,Available
"110MM - B05OO","RZ 67 LENSES",MAMIYA,"110MM 2.8",$15.00,Non-circulating
"110MM - B06OO","RZ 67 LENSES",MAMIYA,"110MM 2.8",$15.00,Available
"110MM - B07OO","RZ 67 LENSES",MAMIYA,"110MM 2.8",$35.00,Non-circulating
"110MM - B15OO","RZ 67 LENSES",MAMIYA,"110MM 2.8",$15.00,Non-circulating
"11 x 14 EASEL - B14EA",EASELS,,,,Available
"11 x 14 EASEL - B15EA",EASELS,,,,Available
"11 x 14 EASEL - B16EA",EASELS,,,,Available
"11 x 14 EASEL - B17EA",EASELS,,,,Available
"11 x 14 EASEL - B18EA",EASELS,,,,Available
"11 x 14 EASEL - B19EA",EASELS,,,,Available
"11 x 14 EASEL - B20EA",EASELS,,,,Available
"11 x 14 EASEL - B22EA",EASELS,,,,Available
"11 x 14 EASEL - B23EA",EASELS,,,,Available
"11 x 14 EASEL - B24EA",EASELS,,,,Available
"11 x 14 EASEL - B25EA",EASELS,,,,Available
"11 x 14 EASEL - B26EA",EASELS,,,,Available
"11 x 14 EASEL - B27EA",EASELS,,,,Available
"11 x 14 EASEL - B28EA",EASELS,,,,Available
"120 BACK - M02HB","MFA PHOTO 3 DAY RENTALS",HASSELBLAD,A12,$2.50,Non-circulating
"120MM 4.0 - B24DL","645 AFD LENSES",MAMIYA,"120MM 4.0",$20.00,Available
"120MM - B11HL","HASSELBLAD LENSES",HASSELBLAD,"120MM ",$33.00,Available
"120MM - B12HL","HASSELBLAD LENSES",HASSELBLAD,"120MM ",$33.00,Available
"135MM 2.0 - B13NL","NIKON LENSES",NIKON,"135MM 2.0",$10.00,Available
"135MM 2.0 - B29CL","135MM 2.0",CANON,"135MM 2.0",$10.00,Available
"135MM 2.0 - B49CL","135MM 2.0",CANON,"135MM 2.0",$10.00,Available
"135MM B95CL","135MM 2.0",CANON,"135MM 2.0",$10.00,Available
"135MM ENLARGING LENS - B31EL",135MM,,,,Available
"135MM ENLARGING LENS - B32EL",135MM,,,,Available
"135MM ENLARGING LENS - B33EL",135MM,,,,Available
"135MM ENLARGING LENS - B34EL",135MM,,,,Available
"135MM ENLARGING LENS - B35EL",135MM,,,,Available
"135MM ENLARGING LENS - B37EL",135MM,,,,Available
"135MM ENLARGING LENS - B38EL",135MM,,,,Available
"135MM ENLARGING LENS - B39EL",135MM,,,,Available
"140MM 4.5 - B11OO","RZ 67 LENSES",MAMIYA,"140MM 4.5",$20.00,"Checked out"
"150MM 4.5 - B08RL","7II LENSES",MAMIYA,"150MM 4.5",$10.00,Available
"150MM 5.6 - B01VL","SINAR LENSES",COLTAR,"150MM 5.6 2-N ",$10.00,Non-circulating
"150MM 5.6 - B03VL","SINAR LENSES",Photoflex,"150MM 5.6",,Available
"150MM 5.6 - B04VL","SINAR LENSES",SINAR,"150MM 5.6",$10.00,Non-circulating
"150MM 5.6 - B05VL","SINAR LENSES",SINAR,"150MM 5.6",$10.00,Available
"150MM 5.6 - B06VL","SINAR LENSES",SINAR,"150MM 5.6",$10.00,Available
